Title,Price,Rating(out of 5),No. of Reviews,Product Link,ASIN,Manufacturer,Description
"Swiss Military Hard Shell Travel Backpack UFO, Alien Series Dimond Cut ABS Hardshell upto 15.6 Inch Laptop",3899,2,1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODIxNzY4NDY5MzIzNjkyOjE2ODU5MTYxNDc6c3BfYXRmOjIwMTU2MTY1OTg5Mzk4OjowOjo&url=%2FSwiss-Military-Travel-Backpack-Hardshell%2Fdp%2FB0C3MHG797%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685916147%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA9XP90DC1X0F8,B0C3MHG797,"Swiss Military Consumer Goods Limited, W-39, Okhla Industrial Area, Delhi , Delhi - 110020","Care Instructions: Wipe with Dry ClothUnique Diamond Cut ABS Hard-shell Design.
Accommodates Upto 15.6"" Laptop.Kissing Zip Pullers for Locking Mechanism.
Separate Compartment for IPad / Notebook.Velcro Flap to Prevent 180° Opening.
Elasticated File / Documents Holder.
180° Opening for Packing / Unpacking Ease.
Separate Mesh Zipper Pocket for Accessories.Spacious Garments / Files Pocket for Overnight Travel.
Miscellaneous Storage pockets for organizing ease.Premium Padded Back Mesh Panel for Extra Comfort.
Adjustable Shoulder Strap for Comfort Fit.
Comfort Grip Carrying Handle."
Elegant 16 inch 28 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,799,5,3,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODIxNzY4NDY5MzIzNjkyOjE2ODU5MTYxNDc6c3BfYXRmOjIwMTY0MTI1MDIzMzk4OjowOjo&url=%2FElegant-Leatherette-Waterproof-Backpack-Business%2Fdp%2FB0C4GWK9HR%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685916147%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,B0C4GWK9HR,,"Dimensions and Capacity]: (48 Cm X 33 Cm X 28 CM) 28 Liters.
Compatible upto 16 Inches Laptop.Easy Access Pockets: A sleek anti-theft pocket on the back as well as 2 pockets on the front side help keep all your belongings comfortably organized.Two Large Compartment: It comes with two large compartments with separate padded laptop compartment with elastic bands to hold the laptop.Ergonomic Design: The backpack features a sleek and ergonomic design with a balanced weight distribution through its straps to reduce the load bearing on your shoulders while the padded ventilated air mesh helps reduce sweat.
This makes this backpack a suitable alternative to bulky and unsightly laptop backpacksWaterproof Fabric: The backpack comes with a superior waterproof fabric which helps in keeping your laptop and other important stuff safe from rain"
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),570,4,11063,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1685916147&sprefix=ba%2Caps%2C283&sr=8-3,B084JGJ8PF,"Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop.
It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen.
First compartment with pockets for the earphones, pens, notebook, Fitness Band.
Spacious second compartment for all your electronics.Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move.
“S” Shaped shoulder strap distribute the weight of the backpack across your upper body.Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warrantyWater Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.› See more product details"
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),1199,4,54420,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1685916147&sprefix=ba%2Caps%2C283&sr=8-4,B07CJCGM1M,Samsonite,"Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No.
With Rain Cover : NoOuter Material: Polyester, Color: BlackWater Resistance: Water resistant , not WaterproofCapacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 CentimetersNumber of Wheels: 0, Number of compartments: 3Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date ofMesh pockets on both sides to accommodate your sipper or bottle and umbrellaMesh Padding on back & shoulder strap to provide comfort & better back support"
Skybags Brat Black 46 Cms Casual Backpack,619,4,4628,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1685916147&sprefix=ba%2Caps%2C283&sr=8-5,B08Z1HHHTD,VIP Industries Ltd,"Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,Water Resistance Level: Not Water ResistantSize: 35 x 13 x 46 cms"
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",599,3,2072,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1685916147&sprefix=ba%2Caps%2C283&sr=8-6,B09QJ7ZF2Y,,"Ease of Access-Multi purpose pockets Super sorted stuff It has a vibrant and stylish design, along with the added benefit of spacious interiors.Anti - Theft Pocket-Hidden storage pocket for important documents like passports, tickets, cash while on the go.Integrated Fast charging port-Unique pre-fitted USB port helps you to easily connect your phone or any other device with your power bank.
Charging system for smart devices , with free USB (power bank not included )Care Instructions: Wipe with Dry ClothSuperior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside.
This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"".
Since there maybe exist slight size difference among different laptop brands."
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",599,4,4122,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1685916147&sprefix=ba%2Caps%2C283&sr=8-7,B09VTDMRY7,FUR JADEN,"Care Instructions: Wipe with Damp ClothNumber Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock.
This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space.
The number lock sequence can be changed and customised by your directly.<br>USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.<br>Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.<br>Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D).
Storage Capacity: 25L.
Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects<br>Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester<br>"
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,689,4,1311,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1685916147&sprefix=ba%2Caps%2C283&sr=8-8,B098QFF5TJ,Wesley,"Spacious : This Rucksack bag is lightweight and comes with Three main compartment having the capacity of approx 45 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 3 main compartments to store all your essentials, A back mesh pocket to carry extra documents and numerous small pocket to carry all your small accessoriesCAPACITY & SIZE : 45 Litres; Weight: 0.9 kg ; Dimensions: 22.9cm x 36.8cm x 50.8cm ; Utility : Ideal for Travel, Hiking, Trekking & Camping, Day trip.; HIGH QUALITY : A major problem in many rucksack and travelling bags is that it get torn between your journeys or within a short period of time but this Rucksack which is made from high Quality materials, is stitched properly and has bartacks on pressure points is strong enough to hold all your items without any problemFEATURES : Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap , Breathable Mesh etc.; Closure Type: Zipper; Age Range Description: AdultCOMFORTABLE TRAVEL : Backside Honeycomb padded structure which helps you travelling comfortably all day long, provides proper air circulation while in summer also to prevent you feel more relax.
Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily.12 Months Limited Brand Warranty"
Half Moon Large 37L Laptop Bag Backpack for men? Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,749,3,2824,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1685916147&sprefix=ba%2Caps%2C283&sr=8-9,B0BJ32LQ6X,Amazing Bags,"This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind.
A Spacious second compartment for essentials like books and files, and a third compartment for extra items.
Also features padded shoulder straps and side pockets for water bottles.Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads.
Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last.
Plus, it comes with a rain cover, perfect for those rainy school or college days.Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure.
Your trips, travel experience cannot get completed without this amazing trekking backpack.Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat.
It not only keeps your belongings safe but also resists damage to itself.
So, don't settle for anything less.FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc"
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",529,3,16024,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1685916147&sprefix=ba%2Caps%2C283&sr=8-10,B085MHDJ93,Amazing Bags,"SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments.
One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc.
Second compartment of office bag for men is for books, files & all your day to day essentials.
And third compartment of backpack for men is for your extra stuff.
Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfortCOMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items.
The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability.
The office bag for men are made with strong yet light weight polyester fabric with heavy zippers.
College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem.
This laptop bag can be used by everyone.SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks.
The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite.
Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack.
PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel.
Easily accommodate a laptop.
Size: 45 cm X 31 cm X 22 cmENDURING & LONG LASTING LAPTOP BACKPACK: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat.
It will not only keep the inside stuff safe but will also resist damage to itself.
We have designed the bag keeping your comfort in mind.
Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating & to help you lift heavy objects easily.OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo."
